review_text,rating
"Excellent food quality and amazing service! The pizza was perfectly cooked.",5
"Terrible experience. The waiter was rude and food was cold.",1
"Great ambience and friendly staff. Food was good but portions could be bigger.",4
"The wait time was way too long. Service was very slow.",2
"Best restaurant in town! Everything was perfect from food to service.",5
"Overpriced for the quality. The side dish was stale.",2
"Amazing pasta and great atmosphere. Will definitely come back!",5
"The kitchen is too slow during lunch hours. Had to wait 45 minutes.",2
"Fantastic desserts and excellent service. Highly recommend!",5
"Food quality has gone down. Taste is not as good as before.",3
"Clean restaurant with attentive staff. Food was delicious.",5
"The pricing is too high for restaurant of this quality.",2
"Outstanding experience! Every dish was perfect and staff was very helpful.",5
"Average food but nice ambience. Decent value for money.",3
"Fresh ingredients and perfectly prepared dishes. Love this place!",5
"Service was incredibly slow. Waited 1 hour for main course.",1
"Good food quality and reasonable prices. Happy with my visit.",4
"The restaurant is too noisy and chaotic. Hard to enjoy meal.",2
"Excellent cleanliness and very professional staff. Great value!",5
"Food tasted bland and overcooked. Very disappointed with the experience.",2
"Received a defective item",1
"Customer support was helpful",4
"Quality is not consistent",2
"Works as expected, satisfied",4
"Highly disappointing experience",1
"Fantastic product, exceeded expectations",5
"Average quality, nothing impressive",3
"Delivery was late and product was damaged",1
"Pretty good overall",4
"Value for money product",4
"Absolutely loved the build quality",5
